Mechanism,Imputation_Method,MR,Accuracy,Precision,Recall,F1_Score
MAR_h,MLP,15,64.43853652361058,78.63432720531438,78.11540822590545,78.37400877665716
MAR_h,MLP,20,55.26805547217386,71.74811004598239,70.64149785144261,71.19050380852956
MAR_h,MLP,25,51.88520304421077,68.11317876754119,68.53130755064457,68.32160342717259
MNAR_l,None,05,71.45953757225433,76.84537684537685,91.06813996316758,83.354403708386
MNAR_l,None,10,59.34658134051869,68.85502149277062,81.12338858195211,74.48742337772141
MNAR_l,None,15,49.10477453580902,63.69892473118279,68.18600368324125,65.86613297754059
MNAR_l,None,20,43.79172229639519,61.42322097378277,60.40515653775322,60.90993500464252
MNAR_l,None,25,38.842688842688844,61.089918256130794,51.61141804788214,55.952083853256795
MNAR_l,Mean,05,67.35977634107985,73.65303782957585,88.74309392265194,80.49697222802256
MNAR_l,Mean,10,47.94477565108252,60.086511993708214,70.3499079189687,64.81442205726405
MNAR_l,Mean,15,37.764846314532974,51.76927797095521,58.26427255985267,54.825083938048316
MNAR_l,Mean,20,33.11997618338791,48.380082626657966,51.22007366482505,49.75958850497596
MNAR_l,Mean,25,28.8169099756691,45.91713108795735,43.62338858195211,44.74088065163499
MNAR_l,LR,05,71.37586288978814,76.07509831282506,92.03499079189686,83.29745121188971
MNAR_l,LR,10,55.852554429834015,65.23162134944613,79.52731737262124,71.67358229598894
MNAR_l,LR,15,46.752450980392155,58.288770053475936,70.25782688766114,63.7160751565762
MNAR_l,LR,20,42.1990482940164,55.359277460486126,63.965623081645184,59.35208259166964
MNAR_l,LR,25,37.48348409391198,52.60305234631294,56.599140577041126,54.527981074887265
MNAR_l,HT,05,73.53579175704989,77.3972602739726,93.646408839779,84.74999999999999
MNAR_l,HT,10,60.02957121734844,67.70428015564202,84.11602209944752,75.02309824453341
MNAR_l,HT,15,51.866604186191815,61.736543645997955,76.43876611418048,68.30547698637183
MNAR_l,HT,20,46.9472710453284,58.70445344129555,70.09668508287292,63.896757947749435
MNAR_l,HT,25,41.613911982304934,55.228261969835,62.79926335174954,58.77093768514029
MNAR_l,HAT,05,75.14066496163683,78.44827586206897,94.68692449355433,85.80607476635514
MNAR_l,HAT,10,62.759446514103246,69.33705718065559,86.86924493554328,77.11926755497424
MNAR_l,HAT,15,55.13445112306232,63.79676403836299,80.23941068139963,71.07957094498146
MNAR_l,HAT,20,50.14906832298137,60.64293225176506,74.34622467771639,66.79904029122198
MNAR_l,HAT,25,44.16656475480005,56.797986946606905,66.51012891344384,61.27157823302372
MNAR_l,MLP,05,75.89640217457699,78.81882770870338,95.34223449969306,86.2967078760939
MNAR_l,MLP,10,64.37109025915997,70.2872476672562,88.43615715162676,78.32410207618335
MNAR_l,MLP,15,56.72117222340199,64.79864143619602,81.98281154082258,72.38482384823848
MNAR_l,MLP,20,51.59135969946781,61.715141680189745,75.87476979742172,68.0663591932264
MNAR_l,MLP,25,44.4924515833884,56.859815512537345,67.16543891958257,61.58446492647576
MNAR_m,None,05,74.37923250564334,80.26796589524969,91.02209944751381,85.3074433656958
MNAR_m,None,10,65.32859680284191,74.0934730056406,84.66850828729282,79.02879243661367
MNAR_m,None,15,57.710760795065106,69.30041152263374,77.53222836095765,73.18557149065624
MNAR_m,None,20,53.3977348434377,65.88573777229757,73.80294659300183,69.61997828447339
MNAR_m,None,25,45.5607476635514,62.35724074920055,62.84530386740331,62.60032102728732
MNAR_m,Mean,05,70.8858512338008,75.59636501325255,91.91988950276243,82.9628090587991
MNAR_m,Mean,10,64.45211389128559,72.0208252988816,85.98066298342542,78.38405036726128
MNAR_m,Mean,15,56.31100639515315,67.6779935275081,77.02578268876611,72.04995693367785
MNAR_m,Mean,20,51.564804194658365,64.14594374235631,72.44475138121547,68.04324324324325
MNAR_m,Mean,25,44.69941822883,60.0,63.67403314917127,61.78244360062541
MNAR_m,LR,05,74.76266798175317,79.17482700091396,93.06322897483118,85.55908289241623
MNAR_m,LR,10,68.40672348484848,74.94488393204513,88.68937998772253,81.23989597244675
MNAR_m,LR,15,61.59403669724771,70.9042904290429,82.42786985880909,76.23305656092542
MNAR_m,LR,20,57.53378755724338,67.88350026357406,79.05156537753223,73.04310833806012
MNAR_m,LR,25,51.842134033016286,64.31574664315747,72.77470841006752,68.28425372597019
MNAR_m,HT,05,76.95068959002455,81.1031461569096,93.76151012891344,86.97416186205423
MNAR_m,HT,10,70.61048082117775,76.4327485380117,90.26243093922652,82.77390753641546
MNAR_m,HT,15,64.33104407545858,72.44248653940284,85.17495395948434,78.29445061630429
MNAR_m,HT,20,60.52141527001862,69.57960295834955,82.29742173112339,75.4060324825986
MNAR_m,HT,25,55.254908430951986,66.10738255033557,77.09484346224677,71.17959617428268
MNAR_m,HAT,05,78.7652802337203,82.67430600387347,94.33701657458563,88.12145191811457
MNAR_m,HAT,10,72.51607247223846,77.82656421514818,91.39963167587477,84.06877276192088
MNAR_m,HAT,15,66.37174355733447,73.65386113925037,87.03499079189687,79.78727894314777
MNAR_m,HAT,20,62.632333856976985,70.80534321674003,84.43830570902394,77.02322456007728
MNAR_m,HAT,25,57.576963906581746,67.32350659425911,79.90791896869244,73.07789473684211
MNAR_m,MLP,05,79.81906300484653,83.48766475160528,94.78207489257213,88.77708700183275
MNAR_m,MLP,10,73.41617187978208,78.39728086803059,92.03499079189686,84.67050227665808
MNAR_m,MLP,15,67.55644402634054,74.29199534462693,88.16758747697975,80.6372377008913
MNAR_m,MLP,20,63.874585192813825,71.51825752722614,85.66605279312462,77.95545003840515
MNAR_m,MLP,25,59.17936172578673,68.23951788690857,81.67587476979742,74.35557107928746
MNAR_h,None,05,78.11461794019934,88.85214926783183,86.60220994475138,87.71275355560736
MNAR_h,None,10,67.4577634754626,84.22903063787042,77.20994475138122,80.56689887100649
MNAR_h,None,15,56.85376097747232,76.91115702479338,68.55432780847146,72.49269717624148
MNAR_h,None,20,49.02537697682972,70.90425531914893,61.37200736648251,65.79466929911155
MNAR_h,None,25,43.31256870648589,67.9700977573318,54.41988950276243,60.444899002812576
MNAR_h,Mean,05,81.4932992980217,91.4756446991404,88.19060773480662,89.80309423347398
MNAR_h,Mean,10,72.53886010362694,87.91760864104496,80.57090239410681,84.08408408408408
MNAR_h,Mean,15,61.810551558753005,82.414068745004,71.20165745856355,76.39866617265655
MNAR_h,Mean,20,54.40889582520484,78.10137216465975,64.20349907918968,70.47378395451672
MNAR_h,Mean,25,47.84541062801932,74.87148472936195,56.998158379373855,64.72356554698733
MNAR_h,LR,05,83.99021864211737,93.05179282868525,89.61019030079804,91.29856930654365
MNAR_h,LR,10,76.14291742861163,90.12654012654012,83.07243707796194,86.45583772560293
MNAR_h,LR,15,67.13563720803168,85.92657342657343,75.42971147943524,80.33671134357633
MNAR_h,LR,20,60.6860511858502,82.7063550036523,69.50583179864948,75.53368912608404
MNAR_h,LR,25,54.96477469094776,80.41618047452353,63.45917740945365,70.93841139131925
MNAR_h,HT,05,85.36956521739131,93.87999043748506,90.40055248618785,92.10742347836285
MNAR_h,HT,10,77.71513668758642,91.10861703454296,84.09300184162063,87.46034596277009
MNAR_h,HT,15,69.60398092473564,87.51303441084463,77.27900552486187,82.07823960880195
MNAR_h,HT,20,63.71609218845605,84.82215585120827,71.91528545119705,77.83729911548522
MNAR_h,HT,25,58.206087572049746,82.73681184418571,66.25230202578268,73.58261425375518
MNAR_h,HAT,05,86.25600698995194,94.40566127952567,90.902394106814,92.62091288642867
MNAR_h,HAT,10,78.92530161718149,91.77196298875734,84.93554327808471,88.22151020993736
MNAR_h,HAT,15,71.38675142188022,88.62008098847471,78.59116022099447,83.30486555072957
MNAR_h,HAT,20,65.77429983525536,86.184565569347,73.52670349907919,79.35403726708076
MNAR_h,HAT,25,60.23024167210973,84.16428978893326,67.92817679558011,75.1796178343949
MNAR_h,MLP,05,86.55627689838792,94.60256716893886,91.05279312461633,92.79374389051809
MNAR_h,MLP,10,79.54415547299229,92.03108208646772,85.42817679558011,88.60678896892038
MNAR_h,MLP,15,72.18255634887302,89.15787653467059,79.12829957028852,83.84421497682737
MNAR_h,MLP,20,66.73790155797602,86.78619453160017,74.28637200736648,80.05126720965808
MNAR_h,MLP,25,61.16995831340122,84.82752084912812,68.68477593615715,75.90739484396201
