mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,AHYIJDV,20,reg_opt_00001,4.3,3.0,406.13,0.0006,4047.1
MCAR,AHYIJDV,20,tree_gp_10000,3.75,2.0,523.83,0.0008,4601.88
MCAR,AHYIJDV,20,mlp_opt_0001,7.09,5.0,2128.12,0.0031,9178.26
MCAR,ASFODQR,25,mean,17.14,14.0,538.39,0.0004,6747.27
MCAR,ASFODQR,25,reg_opt_00001,5.78,3.0,870.16,0.0006,8330.21
MCAR,ASFODQR,25,tree_gp_10000,5.06,3.0,1040.02,0.0007,9398.6
MCAR,ASFODQR,25,mlp_opt_0001,10.76,6.0,4100.79,0.0029,18913.43
MCAR,ASFODQR,15,mean,17.14,14.0,554.08,0.0004,6746.59
MCAR,ASFODQR,15,reg_opt_00001,5.62,3.0,858.41,0.0006,8428.05
MCAR,ASFODQR,15,tree_gp_10000,4.87,3.0,1042.0,0.0007,9271.98
MCAR,ASFODQR,15,mlp_opt_0001,10.49,6.0,4246.87,0.003,19090.64
MCAR,ASFODQR,10,mean,17.16,14.0,572.4,0.0004,6746.22
MCAR,ASFODQR,10,reg_opt_00001,5.53,3.0,904.32,0.0006,8479.92
MCAR,ASFODQR,10,tree_gp_10000,4.79,3.0,1093.91,0.0008,9634.13
MCAR,ASFODQR,10,mlp_opt_0001,10.36,6.0,4327.97,0.003,19185.68
MCAR,ASFODQR,5,mean,17.14,14.0,552.57,0.0004,6745.84
MCAR,ASFODQR,5,reg_opt_00001,5.44,3.0,973.35,0.0007,8534.37
MCAR,ASFODQR,5,tree_gp_10000,4.71,3.0,1155.61,0.0008,9725.37
MCAR,ASFODQR,5,mlp_opt_0001,10.26,6.0,4411.55,0.0031,19285.75
MCAR,ASFODQR,20,mean,17.14,14.0,497.63,0.0003,6746.94
MCAR,ASFODQR,20,reg_opt_00001,5.7,3.0,915.92,0.0006,8378.0
MCAR,ASFODQR,20,tree_gp_10000,4.96,3.0,1020.75,0.0007,9450.22
MCAR,ASFODQR,20,mlp_opt_0001,10.62,6.0,4288.17,0.003,19000.0
MCAR,AUY8KYW,10,mean,12.34,10.0,372.53,0.0004,4394.75
MCAR,AUY8KYW,10,reg_opt_00001,5.64,4.0,592.33,0.0006,5524.36
MCAR,AUY8KYW,10,tree_gp_10000,4.73,3.0,740.77,0.0008,6299.44
MCAR,AUY8KYW,10,mlp_opt_0001,8.9,6.0,2707.43,0.0029,12498.38
MCAR,AUY8KYW,15,mean,12.34,10.0,331.95,0.0004,4394.99
MCAR,AUY8KYW,15,reg_opt_00001,5.71,4.0,602.11,0.0006,5490.4
MCAR,AUY8KYW,15,tree_gp_10000,4.79,3.0,648.77,0.0007,6304.74
MCAR,AUY8KYW,15,mlp_opt_0001,8.99,6.0,2707.23,0.0029,12436.81
MCAR,AUY8KYW,25,mean,12.34,10.0,365.87,0.0004,4395.43
MCAR,AUY8KYW,25,reg_opt_00001,5.85,4.0,589.73,0.0006,5426.61
MCAR,AUY8KYW,25,tree_gp_10000,4.93,3.0,736.4,0.0008,6041.39
MCAR,AUY8KYW,25,mlp_opt_0001,2.75,2.0,2684.46,0.0029,12321.61
MCAR,AUY8KYW,20,mean,12.34,10.0,375.11,0.0004,4395.22
MCAR,AUY8KYW,20,reg_opt_00001,5.78,4.0,579.26,0.0006,5457.85
MCAR,AUY8KYW,20,tree_gp_10000,4.85,3.0,696.35,0.0007,6032.68
MCAR,AUY8KYW,20,mlp_opt_0001,2.7,2.0,2725.64,0.0029,12378.34
MCAR,AUY8KYW,5,mean,12.34,10.0,360.88,0.0004,4394.5
MCAR,AUY8KYW,5,reg_opt_00001,5.6,4.0,601.28,0.0006,5559.43
MCAR,AUY8KYW,5,tree_gp_10000,4.66,3.0,686.88,0.0007,6177.5
MCAR,AUY8KYW,5,mlp_opt_0001,8.82,6.0,2848.48,0.0031,12564.7
MCAR,A3OU183,15,mean,7.35,6.0,29.0,0.0004,355.37
MCAR,A3OU183,15,reg_opt_00001,5.26,4.0,48.14,0.0006,443.93
MCAR,A3OU183,15,tree_gp_10000,4.62,3.0,54.49,0.0007,458.32
MCAR,A3OU183,15,mlp_opt_0001,3.03,2.0,219.64,0.0029,1005.64
MCAR,A3OU183,5,mean,7.4,6.0,26.6,0.0004,355.33
MCAR,A3OU183,5,reg_opt_00001,5.12,4.0,51.29,0.0007,449.54
MCAR,A3OU183,5,tree_gp_10000,4.52,3.0,57.27,0.0008,464.42
MCAR,A3OU183,5,mlp_opt_0001,2.92,2.0,228.85,0.003,1015.85
MCAR,A3OU183,10,mean,7.33,6.0,29.58,0.0004,355.35
MCAR,A3OU183,10,reg_opt_00001,5.19,4.0,51.72,0.0007,446.68
MCAR,A3OU183,10,tree_gp_10000,4.59,3.0,59.22,0.0008,461.55
MCAR,A3OU183,10,mlp_opt_0001,2.98,2.0,225.07,0.003,1010.69
MCAR,A3OU183,25,mean,7.4,6.0,29.28,0.0004,355.4
MCAR,A3OU183,25,reg_opt_00001,5.4,4.0,48.69,0.0006,438.76
MCAR,A3OU183,25,tree_gp_10000,4.74,3.0,53.05,0.0007,451.52
MCAR,A3OU183,25,mlp_opt_0001,7.5,6.0,218.95,0.0029,996.35
MCAR,A3OU183,20,mean,7.36,6.0,27.45,0.0004,355.39
MCAR,A3OU183,20,reg_opt_00001,5.32,4.0,47.77,0.0006,441.2
MCAR,A3OU183,20,tree_gp_10000,4.66,3.0,56.07,0.0007,455.31
MCAR,A3OU183,20,mlp_opt_0001,7.46,6.0,223.42,0.003,1000.92
MCAR,AOYM4KG,10,mean,12.49,9.0,56.69,0.0004,693.66
